polled_at_utc,polled_at_pacific,route,date,source,cabin,old_seats,new_seats,airlines,source_updated_at
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,alaska,Y,none,0,,2026-08-14T16:01:04.500324Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,alaska,W,none,0,,2026-08-14T16:01:04.500324Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,alaska,J,none,0,,2026-08-14T16:01:04.500324Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,alaska,F,none,0,,2026-08-14T16:01:04.500324Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,qantas,Y,none,0,,2026-08-14T17:02:42.446855Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,qantas,W,none,1,AY,2026-08-14T17:02:42.446855Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,qantas,J,none,0,,2026-08-14T17:02:42.446855Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,qantas,F,none,0,,2026-08-14T17:02:42.446855Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,american,Y,none,0,,2026-08-12T21:34:12.869988Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,american,W,none,0,,2026-08-12T21:34:12.869988Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,american,J,none,0,,2026-08-12T21:34:12.869988Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,american,F,none,0,,2026-08-12T21:34:12.869988Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,qatar,Y,none,0,,2026-08-13T01:01:32.740944Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,qatar,W,none,0,,2026-08-13T01:01:32.740944Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,qatar,J,none,0,,2026-08-13T01:01:32.740944Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-05,qatar,F,none,0,,2026-08-13T01:01:32.740944Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,qantas,Y,none,0,,2026-08-14T17:06:38.172685Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,qantas,W,none,0,,2026-08-14T17:06:38.172685Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,qantas,J,none,0,,2026-08-14T17:06:38.172685Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,qantas,F,none,0,,2026-08-14T17:06:38.172685Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,american,Y,none,0,,2026-08-13T13:44:46.127825Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,american,W,none,0,,2026-08-13T13:44:46.127825Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,american,J,none,0,,2026-08-13T13:44:46.127825Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,american,F,none,0,,2026-08-13T13:44:46.127825Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,alaska,Y,none,0,,2026-08-14T16:00:56.796253Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,alaska,W,none,0,,2026-08-14T16:00:56.796253Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,alaska,J,none,0,,2026-08-14T16:00:56.796253Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,alaska,F,none,0,,2026-08-14T16:00:56.796253Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,qatar,Y,none,0,,2026-08-13T13:44:44.368299Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,qatar,W,none,0,,2026-08-13T13:44:44.368299Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,qatar,J,none,0,,2026-08-13T13:44:44.368299Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-06,qatar,F,none,0,,2026-08-13T13:44:44.368299Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,alaska,Y,none,4,AY,2026-08-14T16:04:44.695179Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,alaska,W,none,7,AY,2026-08-14T16:04:44.695179Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,alaska,J,none,9,AY,2026-08-14T16:04:44.695179Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,alaska,F,none,0,,2026-08-14T16:04:44.695179Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,qatar,Y,none,4,AY,2026-08-13T13:46:45.774994Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,qatar,W,none,0,,2026-08-13T13:46:45.774994Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,qatar,J,none,0,,2026-08-13T13:46:45.774994Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,qatar,F,none,0,,2026-08-13T13:46:45.774994Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,qantas,Y,none,4,AY,2026-08-14T17:03:50.50252Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,qantas,W,none,2,AY,2026-08-14T17:03:50.50252Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,qantas,J,none,0,,2026-08-14T17:03:50.50252Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,qantas,F,none,0,,2026-08-14T17:03:50.50252Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,american,Y,none,0,AY,2026-08-12T23:33:53.073591Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,american,W,none,0,,2026-08-12T23:33:53.073591Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,american,J,none,0,,2026-08-12T23:33:53.073591Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-07,american,F,none,0,,2026-08-12T23:33:53.073591Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,alaska,Y,none,3,AY,2026-08-14T16:03:39.554294Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,alaska,W,none,0,,2026-08-14T16:03:39.554294Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,alaska,J,none,0,,2026-08-14T16:03:39.554294Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,alaska,F,none,0,,2026-08-14T16:03:39.554294Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qantas,Y,none,3,AY,2026-08-14T17:05:54.600089Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qantas,W,none,2,AY,2026-08-14T17:05:54.600089Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qantas,J,none,0,,2026-08-14T17:05:54.600089Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qantas,F,none,0,,2026-08-14T17:05:54.600089Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,american,Y,none,0,AY,2026-08-13T16:39:16.604182Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,american,W,none,0,,2026-08-13T16:39:16.604182Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,american,J,none,0,,2026-08-13T16:39:16.604182Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,american,F,none,0,,2026-08-13T16:39:16.604182Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qatar,Y,none,3,AY,2026-08-13T16:39:17.927883Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qatar,W,none,0,,2026-08-13T16:39:17.927883Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qatar,J,none,0,,2026-08-13T16:39:17.927883Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-08,qatar,F,none,0,,2026-08-13T16:39:17.927883Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qantas,Y,none,0,,2026-08-14T17:04:17.812653Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qantas,W,none,0,,2026-08-14T17:04:17.812653Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qantas,J,none,0,,2026-08-14T17:04:17.812653Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qantas,F,none,0,,2026-08-14T17:04:17.812653Z
2026-08-15T00:36:42+00:00,2026-08-14T17:36:42-07:00,LAX-HEL,2027-07-09,qatar,Y,none,0,,2026-08-12T23:33:14.139803Z
